"","Year","Area","Street","Street.2"
"387",2011,"Birmingham","Outsidetempleparadelowerparade",NA
"388",2011,"Birmingham","Outsidethetemplebarlowerparadesc",NA
"389",2011,"Birmingham","Paradesuttoncoldfield",NA
"390",2011,"Birmingham","Paradesc",NA
"391",2011,"Birmingham","Paradesuttoncoldfield",NA
"392",2011,"Birmingham","Paradesuttoncoldfield",NA
"393",2011,"Birmingham","Paradesuttoncoldfield",NA
"394",2011,"Birmingham","Paradesuttontown",NA
"395",2011,"Birmingham","Paradesuttoncoldfield",NA
"396",2011,"Birmingham","Paradesuttoncoldfield",NA
"397",2011,"Birmingham","Paradesuttontowncentre",NA
"398",2011,"Birmingham","Parkestoncrescentkinsgatndingb'ham",NA
"399",2011,"Birmingham","Plantsgroveerdington",NA
"400",2011,"Birmingham","Pypehayesroadpypehayesb'ham",NA
"401",2011,"Birmingham","Pypehayesroadpypehayesb'ham",NA
"402",2011,"Birmingham","Pypehayesroadpypehayesb'ham",NA
"403",2011,"Birmingham","Queenstreet",NA
"404",2011,"Birmingham","Queenstreet",NA
"405",2011,"Birmingham","Queenstreet",NA
"406",2011,"Birmingham","Queenstreet",NA
"407",2011,"Birmingham","Queenstreetsuttoncoldfieldtowncentre",NA
"408",2011,"Birmingham","Queslettroadeast",NA
"409",2011,"Birmingham","Redacrerdboldmere",NA
"410",2011,"Birmingham","Reservoirroad",NA
"411",2011,"Birmingham","Ridgeway",NA
"412",2011,"Birmingham","Sladeroaderdingtonb'ham",NA
"413",2011,"Birmingham","Sladeroaderdingtonb'ham",NA
"414",2011,"Birmingham","Sothparadesuttoncoldfield",NA
"415",2011,"Birmingham","Sothparadesuttoncoldfield",NA
"416",2011,"Birmingham","Southparade",NA
"417",2011,"Birmingham","Southparade",NA
"418",2011,"Birmingham","Southparade",NA
"419",2011,"Birmingham","Southparade",NA
"420",2011,"Birmingham","Southparade",NA
"421",2011,"Birmingham","Southparade",NA
"422",2011,"Birmingham","Southparade",NA
"423",2011,"Birmingham","Southparade",NA
"424",2011,"Birmingham","Southparade",NA
"425",2011,"Birmingham","Southparade",NA
"426",2011,"Birmingham","Southparade",NA
"427",2011,"Birmingham","Southparade",NA
"428",2011,"Birmingham","Southparadetowncentresuttoncoldfield",NA
"429",2011,"Birmingham","Southparadesuttoncoldfield",NA
"430",2011,"Birmingham","Southparadesuttoncoldfield",NA
"431",2011,"Birmingham","Southparadesuttontowncentre",NA
"432",2011,"Birmingham","Southparadesuttoncoldfield",NA
"433",2011,"Birmingham","Southparadesuttoncoldfield",NA
"434",2011,"Birmingham","Southparadesuttoncoldfield",NA
"435",2011,"Birmingham","Southparadesuttoncoldfield",NA
"436",2011,"Birmingham","Southparadesuttoncoldfield",NA
"437",2011,"Birmingham","Southparadesuttoncoldfield",NA
"438",2011,"Birmingham","Southparadesuttoncoldfield",NA
"439",2011,"Birmingham","Southparadesuttoncoldfield",NA
"440",2011,"Birmingham","Southparadesuttoncoldfield",NA
"441",2011,"Birmingham","Southparadesuttoncoldfield",NA
"442",2011,"Birmingham","Southparadesuttoncoldfield",NA
"443",2011,"Birmingham","Southparadesuttontowncentre",NA
"444",2011,"Birmingham","Southparadetowncentresuttoncoldfield",NA
"445",2011,"Birmingham","Stornawayroadcastlevale",NA
"446",2011,"Birmingham","Streetleyroaderdington",NA
"447",2011,"Birmingham","Sumburghcroft",NA
"448",2011,"Birmingham","Suttoncoldfieldtowncentre",NA
"449",2011,"Birmingham","Suttoncoldfieldtowncentre",NA
"450",2011,"Birmingham","Suttonnewroad",NA
"451",2011,"Birmingham","Suttonnewroaderdington",NA
"452",2011,"Birmingham","Suttonnewroaderdington",NA
"453",2011,"Birmingham","Suttonnewroaderdington",NA
